Gotham,2,76%,8.69,8.5,9.1,9.1,8.3,8.3,8.5,9.1,8.7,8.6,9.1,9.2,8.4,8.4,8.6,8.7,8.5,9.2,8.5,8.7,8.9,8.4,8.3,,,,
Gotham,3,77%,8.43,8.1,8.1,8.2,8.2,8.5,8.3,8.1,8.2,8.2,8.3,8.8,8.2,8.9,9.2,8.3,8.3,8.5,8.1,8.3,8.7,8.8,9.2,,,,
Gotham,4,76%,8.65,8.7,8.4,8.4,8.4,8.4,8.2,8.6,8.5,8.8,8.7,9,8.2,8.5,8.5,9,8.7,8.7,9,8.3,8.9,9.1,9.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Is the New Black,1,82%,8.22,7.8,8,8.1,8.2,8,8,7.9,8,8.5,8.7,8.6,8.2,8.9,,,,,,,,,,,,,
Orange Is the New Black,2,73%,8.42,8.5,8,8.2,8.4,8,8.3,8.1,8.3,8.5,8.6,8.4,8.7,9.4,,,,,,,,,,,,,
Orange Is the New Black,3,96%,8.15,7.8,7.9,8.2,8,7.8,8.2,8,8,8,8.5,8.3,8.2,9,,,,,,,,,,,,,
Orange Is the New Black,4,95%,8.57,8.5,7.9,8.1,8.1,8.1,8.6,8.8,8.5,8.2,8.4,9.3,9.4,9.5,,,,,,,,,,,,,
Orange Is the New Black,5,98%,8.18,8.2,8.1,7.8,7.8,8.3,8,7.8,8.2,8.3,8.6,8,8.2,9.1,,,,,,,,,,,,,
Orange Is the New Black,6,94%,8.03,7.4,7.8,8.1,8.1,7.9,7.8,7.9,7.9,8,8,8.3,8.3,8.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stranger Things,1,94%,8.85,8.6,8.5,8.9,8.9,8.7,8.8,9.1,9.3,,,,,,,,,,,,,,,,,,
Stranger Things,2,96%,8.59,8.4,8.5,8.7,8.7,8.9,9.2,6.2,9.3,9.4,,,,,,,,,,,,,,,,,
